sample	prefix	sample_barcode	lane	ploidy	fq1	fq2	pop	elevation
A2-GX	A2_L1	A2-GX	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2_L1_R1_001_Hzuycvw0MOoq.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2_L1_R2_001_hdfrDMAxu1Wa.fastq.gz	DAG	low
A2-GX	A2_L2	A2-GX	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2_L2_R1_001_iCXcil8e8tbm.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2_L2_R2_001_SZtSNrh2yq2f.fastq.gz	DAG	low
A2-Sch-X	A2Sch_L1	A2-Sch-X	L1	2	/data/users/rchoudhury/snakeSNPcalling/data/fastq/A2Sch_L1_R1_001.fastq.gz	/data/users/rchoudhury/snakeSNPcalling/data/fastq/A2Sch_L1_R2_001.fastq.gz	DAS	high
B2-AUR-X	B2_L1	B2-AUR-X	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2_L1_R1_001_71wRs1AKF84U.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2_L1_R2_001_XJEXguJLQyhN.fastq.gz	DBM	high
B2-AUR-X	B2_L2	B2-AUR-X	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2_L2_R1_001_j6QkyjMFT5rm.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2_L2_R2_001_76z1xfAOcnjy.fastq.gz	DBM	high
K2-s2-X	K2_L1	K2-s2-X	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2_L1_R1_001_UBeVG7bx5BrQ.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2_L1_R2_001_kjUMHw6oVgq4.fastq.gz	DKS	low
K2-s2-X	K2_L2	K2-s2-X	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2_L2_R1_001_Bbaeom9tgrZ5.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2_L2_R2_001_aFYDl6WShFcO.fastq.gz	DKS	low
RCB-X	P2_L1	RCB-X	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/P2_L1_R1_001_97OLrI8r0Ckl.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/P2_L1_R2_001_KsDl112hCwGB.fastq.gz	DPR	high
RCB-X	P2_L2	RCB-X	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/P2_L2_R1_001_YuzpJdlNPUts.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/P2_L2_R2_001_c3pRgQEoJK7b.fastq.gz	DPR	high
V2-bX	V2_L1	V2-bX	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/V2_L1_R1_001_yd1alWwKsxte.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/V2_L1_R2_001_pvu9f02h4Hp1.fastq.gz	DVB	low
