sample	prefix	sample_barcode	flowcell_barcode	lane	pop	ploidy	fq1	fq2
A2G-X	A2G-X_L1	A2G-X	H7TYWDRXX	L001	Gainfarn	2	data/fastq/A2G-X_L1_R1_001.fastq.gz	data/fastq/A2G-X_L1_R2_001.fastq.gz
A2G-X	A2G-X_L2	A2G-X	H7TYWDRXX	L002	Gainfarn	2	data/fastq/A2G-X_L2_R1_001.fastq.gz	data/fastq/A2G-X_L2_R2_001.fastq.gz
K2S2-X	K2S2-X_L1	K2S2-X	H7TYWDRXX	L001	S2_S2-1	2	data/fastq/K2S2-X_L1_R1_001.fastq.gz	data/fastq/K2S2-X_L1_R2_001.fastq.gz
K2S2-X	K2S2-X_L2	K2S2-X	H7TYWDRXX	L002	S2_S2-1	2	data/fastq/K2S2-X_L2_R1_001.fastq.gz	data/fastq/K2S2-X_L2_R2_001.fastq.gz
P2R-X	P2R-X_L1	P2R-X	H7TYWDRXX	L001	RCB	2	data/fastq/P2R-X_L1_R1_001.fastq.gz	data/fastq/P2R-X_L1_R2_001.fastq.gz
P2R-X	P2R-X_L2	P2R-X	H7TYWDRXX	L002	RCB	2	data/fastq/P2R-X_L2_R1_001.fastq.gz	data/fastq/P2R-X_L2_R2_001.fastq.gz
V2B-20	V2B-20_95_L1	V2B-20	HCKV7DRXX	L001	Beuron	2	data/fastq/V2B-20_95_L1_R1_001.fastq.gz	data/fastq/V2B-20_95_L1_R2_001.fastq.gz
V2B-20	V2B-20_95_L2	V2B-20	HCKV7DRXX	L002	Beuron	2	data/fastq/V2B-20_95_L2_R1_001.fastq.gz	data/fastq/V2B-20_95_L2_R2_001.fastq.gz
V2B-20	V2B-20_96_L1	V2B-20	HCLMHDRXX	L001	Beuron	2	data/fastq/V2B-20_96_L1_R1_001.fastq.gz	data/fastq/V2B-20_96_L1_R2_001.fastq.gz
V2B-20	V2B-20_96_L2	V2B-20	HCLMHDRXX	L002	Beuron	2	data/fastq/V2B-20_96_L2_R1_001.fastq.gz	data/fastq/V2B-20_96_L2_R2_001.fastq.gz
V2B-A6	V2B-A6_95_L1	V2B-A6	HCKV7DRXX	L001	Beuron	2	data/fastq/V2B-A6_95_L1_R1_001.fastq.gz	data/fastq/V2B-A6_95_L1_R2_001.fastq.gz
V2B-A6	V2B-A6_95_L2	V2B-A6	HCKV7DRXX	L002	Beuron	2	data/fastq/V2B-A6_95_L2_R1_001.fastq.gz	data/fastq/V2B-A6_95_L2_R2_001.fastq.gz
V2B-A6	V2B-A6_96_L1	V2B-A6	HCLMHDRXX	L001	Beuron	2	data/fastq/V2B-A6_96_L1_R1_001.fastq.gz	data/fastq/V2B-A6_96_L1_R2_001.fastq.gz
